"name";"onsCode";"nomiscode";"nomisoacodes"
"Leeds";"E08000035";1946157127;"1254151943...1254154269;1254258198...1254258221;1254261711...1254261745;1254261853...1254261870;1254261894...1254261918;1254262125...1254262142;1254262341...1254262353;1254262394...1254262398;1254262498...1254262532;1254262620...1254262658;1254262922...1254262925"
"Wakefield";"E08000036";1946157128;"1254154270...1254155319;1254260941...1254260971"
"Derby";"E06000015";1946157129;"1254162749...1254163465;1254263152...1254263213"
"Leicester";"E06000016";1946157130;"1254163466...1254164308;1254258338...1254258338;1254258340...1254258341;1254258344...1254258344;1254260333...1254260350;1254261236...1254261254;1254261626...1254261710"
"Nottingham";"E06000018";1946157131;"1254164416...1254165296;1254258222...1254258222;1254265129...1254265242"
"Rutland";"E06000017";1946157132;"1254164309...1254164415;1254264474...1254264482"
"Amber Valley";"E07000032";1946157133;"1254192175...1254192566;1254258354...1254258354;1254262746...1254262752"
"Bolsover";"E07000033";1946157134;"1254192567...1254192806;1254262765...1254262770"
"Chesterfield";"E07000034";1946157135;"1254192807...1254193150;1254265035...1254265048"
"Derbyshire Dales";"E07000035";1946157136;"1254193151...1254193393;1254265950...1254265955"
"Erewash";"E07000036";1946157137;"1254193394...1254193757;1254258355...1254258355;1254262753...1254262764"
"High Peak";"E07000037";1946157138;"1254193758...1254194058;1254262771...1254262775"
"North East Derbyshire";"E07000038";1946157139;"1254194059...1254194388;1254258326...1254258326;1254258384...1254258390"
"South Derbyshire";"E07000039";1946157140;"1254194389...1254194648;1254266129...1254266163"
"Blaby";"E07000129";1946157141;"1254223363...1254223645;1254258345...1254258345;1254262659...1254262670"
"Charnwood";"E07000130";1946157142;"1254223646...1254224108;1254264975...1254265034"
"Harborough";"E07000131";1946157143;"1254224109...1254224357;1254258339...1254258339;1254262671...1254262693"
"Hinckley and Bosworth";"E07000132";1946157144;"1254224358...1254224682;1254262694...1254262719"
"Melton";"E07000133";1946157145;"1254224683...1254224840;1254262720...1254262727"
"North West Leicestershire";"E07000134";1946157146;"1254224841...1254225120;1254262728...1254262745"
"Oadby and Wigston";"E07000135";1946157147;"1254225121...1254225290;1254258342...1254258343;1254265881...1254265886"
"Boston";"E07000136";1946157148;"1254225291...1254225481;1254261511...1254261518"
"East Lindsey";"E07000137";1946157149;"1254225482...1254225948;1254261519...1254261538"
"Lincoln";"E07000138";1946157150;"1254225949...1254226230;1254265302...1254265328"
"North Kesteven";"E07000139";1946157151;"1254226231...1254226537;1254261539...1254261570"
"South Holland";"E07000140";1946157152;"1254226538...1254226802;1254261571...1254261584"
"South Kesteven";"E07000141";1946157153;"1254226803...1254227212;1254261585...1254261612"
"West Lindsey";"E07000142";1946157154;"1254227213...1254227490;1254260775...1254260793"
"Corby";"E07000150";1946157155;"1254230270...1254230441;1254261349...1254261379"
"Daventry";"E07000151";1946157156;"1254230442...1254230675;1254261380...1254261393"
"East Northamptonshire";"E07000152";1946157157;"1254230676...1254230925;1254264102...1254264121"
"Kettering";"E07000153";1946157158;"1254230926...1254231197;1254261394...1254261416"
"Northampton";"E07000154";1946157159;"1254231198...1254231826;1254261417...1254261470"
"South Northamptonshire";"E07000155";1946157160;"1254231827...1254232081;1254261471...1254261498"
"Wellingborough";"E07000156";1946157161;"1254232082...1254232318;1254261499...1254261510"
"Ashfield";"E07000170";1946157162;"1254235354...1254235724;1254265049...1254265062"
"Bassetlaw";"E07000171";1946157163;"1254235725...1254236087;1254265063...1254265075"
