"name";"onsCode";"nomiscode";"nomisoacodes"
"North Dorset";"E07000050";1946157368;"1254197509...1254197710;1254263670...1254263695"
"Purbeck";"E07000051";1946157369;"1254197711...1254197862;1254258545...1254258548"
"West Dorset";"E07000052";1946157370;"1254197863...1254198189;1254258549...1254258570"
"Weymouth and Portland";"E07000053";1946157371;"1254198190...1254198404;1254263426...1254263435"
"Cheltenham";"E07000078";1946157372;"1254206086...1254206462;1254261104...1254261122"
"Cotswold";"E07000079";1946157373;"1254206463...1254206747;1254261123...1254261134"
"Forest of Dean";"E07000080";1946157374;"1254206748...1254207009;1254261135...1254261137"
"Gloucester";"E07000081";1946157375;"1254207010...1254207368;1254261138...1254261178"
"Stroud";"E07000082";1946157376;"1254207369...1254207724;1254261179...1254261185"
"Tewkesbury";"E07000083";1946157377;"1254207725...1254207984;1254261186...1254261205"
"Mendip";"E07000187";1946157378;"1254240728...1254241074;1254258369...1254258383"
"Sedgemoor";"E07000188";1946157379;"1254241075...1254241430;1254258464...1254258486"
"South Somerset";"E07000189";1946157380;"1254241431...1254241957;1254258487...1254258510"
"Taunton Deane";"E07000190";1946157381;"1254241958...1254242308;1254259126...1254259138;1254259618...1254259630"
"West Somerset";"E07000191";1946157382;"1254242309...1254242435;1254258527...1254258529;1254263387"
"Anglesey";"W06000001";1946157383;"1254268269...1254268492;1254278045...1254278049"
"Gwynedd";"W06000002";1946157384;"1254268493...1254268890;1254278104...1254278109"
"Conwy";"W06000003";1946157385;"1254268891...1254269273;1254278144...1254278147"
"Denbighshire";"W06000004";1946157386;"1254269274...1254269590;1254278071...1254278077"
"Flintshire";"W06000005";1946157387;"1254269591...1254270080;1254278078...1254278084"
"Wrexham";"W06000006";1946157388;"1254270081...1254270506;1254278085...1254278103"
"Powys";"W06000023";1946157389;"1254270507...1254270918;1254277838...1254277838;1254277840...1254277840;1254277842...1254277862;1254278151...1254278153"
"Ceredigion";"W06000008";1946157390;"1254270919...1254271163;1254278110...1254278120"
"Pembrokeshire";"W06000009";1946157391;"1254271164...1254271560;1254278054...1254278055"
"Carmarthenshire";"W06000010";1946157392;"1254271561...1254272145;1254278056...1254278070;1254278141...1254278143"
"Swansea";"W06000011";1946157393;"1254272146...1254272884;1254278121...1254278140;1254278272...1254278304"
"Neath Port Talbot";"W06000012";1946157394;"1254272885...1254273343;1254277841...1254277841;1254278002...1254278014"
"Bridgend";"W06000013";1946157395;"1254273344...1254273766;1254278015...1254278044"
"The Vale of Glamorgan";"W06000014";1946157396;"1254273767...1254274144;1254277889...1254277922"
"Cardiff";"W06000015";1946157397;"1254276883...1254277837;1254278050...1254278053;1254278154...1254278271"
"Rhondda; Cynon; Taff";"W06000016";1946157398;"1254274145...1254274893;1254277961...1254277985"
"Merthyr Tydfil";"W06000024";1946157399;"1254274894...1254275078;1254277839...1254277839;1254278148...1254278150"
"Caerphilly";"W06000018";1946157400;"1254275079...1254275630;1254277986...1254278001"
"Blaenau Gwent";"W06000019";1946157401;"1254275631...1254275869;1254277863...1254277864"
"Torfaen";"W06000020";1946157402;"1254275870...1254276169;1254277865...1254277869"
"Monmouthshire";"W06000021";1946157403;"1254276170...1254276445;1254277870...1254277888"
"Newport";"W06000022";1946157404;"1254276446...1254276882;1254277923...1254277960"
